SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 02-Jan-2026,106.15,106.15,106.15,105.0,105.0,105.0,105.01,101,0.11,2, 101, 100.00
20MICRONS, EQ, 02-Jan-2026,212.08,214.2,217.79,209.01,215.57,214.3,215.03,206190,443.36,7481, 67003, 32.50
21STCENMGM, EQ, 02-Jan-2026,49.03,48.09,50.0,48.05,48.17,49.39,48.34,7321,3.54,82, 6171, 84.29
360ONE, EQ, 02-Jan-2026,1179.7,1179.7,1213.7,1171.2,1200.0,1200.1,1199.84,343492,4121.34,20763, 144945, 42.20
3IINFOLTD, EQ, 02-Jan-2026,16.66,16.94,17.1,16.67,16.9,16.9,16.91,314404,53.16,1309, 208760, 66.40
3MINDIA, EQ, 02-Jan-2026,36000.0,36070.0,37305.0,35530.0,36430.0,36170.0,36340.96,8030,2918.18,4400, 2778, 34.60
3PLAND, EQ, 02-Jan-2026,37.39,37.74,37.85,36.75,37.69,37.69,37.57,3067,1.15,68, 2155, 70.26
574GS2026, GS, 02-Jan-2026,99.8,99.96,99.96,99.94,99.94,99.94,99.95,2,0.0,2, 1, 50.00
585GS2030, GS, 02-Jan-2026,97.5,98.89,98.89,98.89,98.89,98.89,98.89,1200,1.19,1, 1200, 100.00
5PAISA, EQ, 02-Jan-2026,375.8,375.5,375.55,361.45,374.6,367.8,369.35,719809,2658.64,23659, 94196, 13.09
601GS2030, GS, 02-Jan-2026,100.5,100.5,101.55,100.5,101.55,101.55,101.45,1101,1.12,3, 1101, 100.00
610GS2031, GS, 02-Jan-2026,100.0,99.4,99.4,99.4,99.4,99.4,99.4,1,0.0,1, 1, 100.00
633GS2035, GS, 02-Jan-2026,99.5,99.7,99.7,99.6,99.6,99.6,99.68,6,0.01,2, 6, 100.00
63MOONS, EQ, 02-Jan-2026,729.0,731.1,734.7,719.5,733.95,725.75,726.75,80337,583.85,4135, 48826, 60.78
648GS2035, GS, 02-Jan-2026,100.9,100.9,100.9,100.9,100.9,100.9,100.9,401,0.4,5, 401, 100.00
654GS2032, GS, 02-Jan-2026,102.0,103.0,103.0,102.9,102.95,102.95,102.93,4603,4.74,6, 4603, 100.00
667GS2050, GS, 02-Jan-2026,93.0,93.8,93.8,92.9,93.0,93.0,93.0,155297,144.43,18, 155087, 99.86
668GS2040, GS, 02-Jan-2026,100.14,100.1,100.1,100.1,100.1,100.1,100.1,100,0.1,1, 100, 100.00
676GS2061, GS, 02-Jan-2026,95.34,94.95,95.19,94.95,95.19,95.19,95.19,20203,19.23,8, 20203, 100.00
679GS2031, GS, 02-Jan-2026,100.21,100.2,100.2,100.2,100.2,100.2,100.2,200,0.2,1, 200, 100.00
679GS2034, GS, 02-Jan-2026,101.5,102.0,102.0,102.0,102.0,102.0,102.0,9,0.01,1, 9, 100.00
68GS2060, GS, 02-Jan-2026,94.0,95.0,95.0,95.0,95.0,95.0,95.0,10,0.01,2, 10, 100.00
690GS2065, GS, 02-Jan-2026,95.99,96.0,96.0,95.56,96.0,95.97,95.76,44265,42.39,20, 44265, 100.00
692GS2039, GS, 02-Jan-2026,100.1,102.25,103.35,102.25,103.35,103.35,102.47,6500,6.66,3, 6500, 100.00
695GS2061, GS, 02-Jan-2026,94.5,94.5,95.25,94.5,95.25,95.25,95.03,23030,21.88,15, 23015, 99.93
698GR2054, GS, 02-Jan-2026,95.05,94.16,94.16,94.16,94.16,94.16,94.16,99,0.09,1, 99, 100.00
699GS2051, GS, 02-Jan-2026,96.52,96.52,97.55,96.52,97.25,97.25,96.55,1031,1.0,7, 1000, 96.99
709GS2054, GS, 02-Jan-2026,101.49,101.75,101.75,100.8,101.25,101.25,101.49,7581,7.69,8, 7581, 100.00
709GS2074, GS, 02-Jan-2026,97.09,97.26,97.3,97.1,97.25,97.25,97.19,61017,59.3,34, 61016, 100.00
717GS2030, GS, 02-Jan-2026,104.0,102.96,104.6,102.96,104.58,104.58,103.82,2254,2.34,6, 1700, 75.42
718GS2033, GS, 02-Jan-2026,105.7,104.27,104.27,104.27,104.27,104.27,104.27,799,0.83,1, 799, 100.00
718GS2037, GS, 02-Jan-2026,105.07,105.4,105.79,105.12,105.7,105.42,105.54,11986,12.65,18, 8375, 69.87
719GS2060, GS, 02-Jan-2026,99.28,100.0,100.0,100.0,100.0,100.0,100.0,2150,2.15,5, 2150, 100.00
71GS2034, GS, 02-Jan-2026,103.71,103.71,103.75,103.71,103.75,103.75,103.75,2010,2.09,3, 2010, 100.00
723GS2039, GS, 02-Jan-2026,103.25,102.51,102.51,102.51,102.51,102.51,102.51,100,0.1,1, 100, 100.00
724GS2055, GS, 02-Jan-2026,102.12,101.81,102.3,101.8,101.91,101.91,101.83,2106,2.14,14, 2095, 99.48
725GS2063, GS, 02-Jan-2026,99.25,99.13,99.5,98.8,99.45,99.48,99.42,95525,94.97,46, 95525, 100.00
726GS2032, GS, 02-Jan-2026,105.54,105.55,106.2,105.5,106.2,106.2,105.53,14068,14.85,7, 14068, 100.00
727GS2026, GS, 02-Jan-2026,102.15,102.15,102.15,102.15,102.15,102.15,102.15,2,0.0,2, 2, 100.00
733GS2026, GS, 02-Jan-2026,102.6,101.6,101.6,101.6,101.6,101.6,101.6,345,0.35,4, 345, 100.00
734GS2064, GS, 02-Jan-2026,101.0,101.35,101.35,101.0,101.15,101.15,101.25,222757,225.54,37, 222757, 100.00
736GS2052, GS, 02-Jan-2026,102.35,99.79,103.18,99.79,103.18,103.18,103.14,1250,1.29,9, 1238, 99.04
737GR2054, GS, 02-Jan-2026,100.5,102.77,102.77,102.77,102.77,102.77,102.77,1,0.0,1, 1, 100.00
737GS2028, GS, 02-Jan-2026,105.27,104.22,105.0,104.2,104.5,104.5,104.24,2418,2.52,7, 2418, 100.00
738GS2027, GS, 02-Jan-2026,102.58,102.58,102.66,102.51,102.6,102.57,102.57,110175,113.01,38, 109670, 99.54
73GS2053, GS, 02-Jan-2026,101.01,100.8,100.8,100.2,100.79,100.21,100.29,679,0.68,9, 669, 98.53
741GS2036, GS, 02-Jan-2026,104.5,105.1,105.1,104.3,104.9,104.9,104.49,3957,4.13,5, 2757, 69.67
746GS2073, GS, 02-Jan-2026,101.6,101.97,101.97,101.6,101.85,101.85,101.69,16595,16.88,14, 16545, 99.70
74GS2035, GS, 02-Jan-2026,107.0,104.71,104.71,104.71,104.71,104.71,104.71,600,0.63,1, 600, 100.00
74GS2062, GS, 02-Jan-2026,101.9,101.97,101.97,101.51,101.75,101.75,101.75,12072,12.28,10, 12072, 100.00
754GS2036, GS, 02-Jan-2026,106.43,106.3,106.52,106.3,106.52,106.43,106.39,793617,844.33,304, 724722, 91.32
757GS2033, GS, 02-Jan-2026,103.65,104.5,104.5,104.5,104.5,104.5,104.5,1260,1.32,1, 1260, 100.00
772GS2055, GS, 02-Jan-2026,110.5,110.5,110.5,110.5,110.5,110.5,110.5,50,0.06,1, 50, 100.00
813GS2045, GS, 02-Jan-2026,116.9,116.0,116.0,116.0,116.0,116.0,116.0,2,0.0,2, 2, 100.00
824GS2027, GS, 02-Jan-2026,105.06,105.01,105.01,105.01,105.01,105.01,105.01,6,0.01,1, 6, 100.00
828GS2027, GS, 02-Jan-2026,110.0,115.5,115.5,115.5,115.5,115.5,115.5,1,0.0,1, 1, 100.00
883GS2041, GS, 02-Jan-2026,123.0,125.0,125.0,125.0,125.0,125.0,125.0,1,0.0,1, 1, 100.00
92GS2030, GS, 02-Jan-2026,114.53,114.65,114.65,113.75,114.5,114.5,114.5,18586,21.28,21, 18586, 100.00
