INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTIDX,BANKNIFTY,29-Feb-2024,0.0,XX,45199.95,46350.0,45021.1,46089.95,46089.95,383806,2630748.55,3119565,-193290,14-FEB-2024,
FUTIDX,BANKNIFTY,28-Mar-2024,0.0,XX,45700.0,46659.95,45373.0,46421.85,46421.85,20879,144101.4,283560,-2310,14-FEB-2024,
FUTIDX,BANKNIFTY,25-Apr-2024,0.0,XX,46000.0,46976.5,45715.0,46759.35,46759.35,4992,34710.53,55815,4890,14-FEB-2024,
FUTIDX,FINNIFTY,27-Feb-2024,0.0,XX,20113.55,20460.0,20005.0,20391.05,20391.05,2658,21456.9,76200,-9640,14-FEB-2024,
FUTIDX,FINNIFTY,26-Mar-2024,0.0,XX,20480.55,20600.0,20186.3,20555.05,20555.05,137,1116.02,3280,-120,14-FEB-2024,
FUTIDX,FINNIFTY,30-Apr-2024,0.0,XX,20494.2,20822.85,20494.2,20822.85,20822.85,7,57.7,240,-40,14-FEB-2024,
FUTIDX,MIDCPNIFTY,26-Feb-2024,0.0,XX,10596.05,10808.95,10550.0,10783.9,10783.9,20170,160943.86,687525,-68550,14-FEB-2024,
FUTIDX,MIDCPNIFTY,22-Mar-2024,0.0,XX,10693.85,10810.0,10564.45,10781.15,10781.15,238,1903.49,17100,975,14-FEB-2024,
FUTIDX,MIDCPNIFTY,29-Apr-2024,0.0,XX,10638.0,10799.0,10600.0,10781.95,10781.95,28,224.35,3600,975,14-FEB-2024,
FUTIDX,NIFTY,29-Feb-2024,0.0,XX,21675.0,21951.0,21600.85,21916.85,21916.85,185897,2022128.46,11818300,-177300,14-FEB-2024,
FUTIDX,NIFTY,28-Mar-2024,0.0,XX,21839.95,22093.0,21753.6,22057.1,22057.1,17075,186787.23,1061900,63200,14-FEB-2024,
